,Target in Reaction,Target,Cycle Number,Pseudo Target dRn,Target in Reaction dRn,CrossTalk %,Multiplex Combination
0,ABY-ENTEROB,ABY-ENTEROB,1.0,-3052.916750919094,-3052.916750919094,100.0,Multiplex3
1,ABY-ENTEROB,ABY-ENTEROB,2.0,-2821.2277343750084,-2821.2277343750084,100.0,Multiplex3
2,ABY-ENTEROB,ABY-ENTEROB,3.0,-2081.6324678308647,-2081.6324678308647,100.0,Multiplex3
3,ABY-ENTEROB,ABY-ENTEROB,4.0,-769.0840762867792,-769.0840762867792,100.0,Multiplex3
4,ABY-ENTEROB,ABY-ENTEROB,5.0,-543.0669347426356,-543.0669347426356,100.0,Multiplex3
5,ABY-ENTEROB,ABY-ENTEROB,6.0,-239.940418198521,-239.940418198521,100.0,Multiplex3
6,ABY-ENTEROB,ABY-ENTEROB,7.0,993.0142233455936,993.0142233455936,100.0,Multiplex3
7,ABY-ENTEROB,ABY-ENTEROB,8.0,1294.6719898897081,1294.6719898897081,100.0,Multiplex3
8,ABY-ENTEROB,ABY-ENTEROB,9.0,1087.0797564338227,1087.0797564338227,100.0,Multiplex3
9,ABY-ENTEROB,ABY-ENTEROB,10.0,962.9406479779373,962.9406479779373,100.0,Multiplex3
10,ABY-ENTEROB,ABY-ENTEROB,11.0,1099.8952895220518,1099.8952895220518,100.0,Multiplex3
11,ABY-ENTEROB,ABY-ENTEROB,12.0,475.6780560661664,475.6780560661664,100.0,Multiplex3
12,ABY-ENTEROB,ABY-ENTEROB,13.0,150.91394761031006,150.91394761031006,100.0,Multiplex3
13,ABY-ENTEROB,ABY-ENTEROB,14.0,53.05608915439552,53.05608915439552,100.0,Multiplex3
14,ABY-ENTEROB,ABY-ENTEROB,15.0,108.08885569853919,108.08885569853919,100.0,Multiplex3
15,ABY-ENTEROB,ABY-ENTEROB,16.0,-31.128377757375347,-31.128377757375347,100.0,Multiplex3
16,ABY-ENTEROB,ABY-ENTEROB,17.0,-1208.4393612132317,-1208.4393612132317,100.0,Multiplex3
17,ABY-ENTEROB,ABY-ENTEROB,18.0,-1352.047219669117,-1352.047219669117,100.0,Multiplex3
18,ABY-ENTEROB,ABY-ENTEROB,19.0,-1238.1394531250025,-1238.1394531250025,100.0,Multiplex3
19,ABY-ENTEROB,ABY-ENTEROB,20.0,-705.059811580888,-705.059811580888,100.0,Multiplex3
20,ABY-ENTEROB,ABY-ENTEROB,21.0,782.2385799632266,782.2385799632266,100.0,Multiplex3
21,ABY-ENTEROB,ABY-ENTEROB,22.0,2187.115096507341,2187.115096507341,100.0,Multiplex3
22,ABY-ENTEROB,ABY-ENTEROB,23.0,5259.022863051485,5259.022863051485,100.0,Multiplex3
23,ABY-ENTEROB,ABY-ENTEROB,24.0,10184.72750459557,10184.72750459557,100.0,Multiplex3
24,ABY-ENTEROB,ABY-ENTEROB,25.0,20213.557146139712,20213.557146139712,100.0,Multiplex3
25,ABY-ENTEROB,ABY-ENTEROB,26.0,37600.3711626838,37600.3711626838,100.0,Multiplex3
26,ABY-ENTEROB,ABY-ENTEROB,27.0,67971.71642922793,67971.71642922793,100.0,Multiplex3
27,ABY-ENTEROB,ABY-ENTEROB,28.0,111477.93669577205,111477.93669577205,100.0,Multiplex3
28,ABY-ENTEROB,ABY-ENTEROB,29.0,166017.9382123162,166017.9382123162,100.0,Multiplex3
29,ABY-ENTEROB,ABY-ENTEROB,30.0,225937.81472886034,225937.81472886034,100.0,Multiplex3
30,ABY-ENTEROB,ABY-ENTEROB,31.0,283351.1912454044,283351.1912454044,100.0,Multiplex3
31,ABY-ENTEROB,ABY-ENTEROB,32.0,331140.91151194857,331140.91151194857,100.0,Multiplex3
32,ABY-ENTEROB,ABY-ENTEROB,33.0,367906.56927849265,367906.56927849265,100.0,Multiplex3
33,ABY-ENTEROB,ABY-ENTEROB,34.0,393488.03954503674,393488.03954503674,100.0,Multiplex3
34,ABY-ENTEROB,ABY-ENTEROB,35.0,409742.9473115809,409742.9473115809,100.0,Multiplex3
35,ABY-ENTEROB,ABY-ENTEROB,36.0,420579.323828125,420579.323828125,100.0,Multiplex3
36,ABY-ENTEROB,ABY-ENTEROB,37.0,426639.54409466917,426639.54409466917,100.0,Multiplex3
37,ABY-ENTEROB,ABY-ENTEROB,38.0,431060.2643612132,431060.2643612132,100.0,Multiplex3
38,ABY-ENTEROB,ABY-ENTEROB,39.0,434652.04712775734,434652.04712775734,100.0,Multiplex3
39,ABY-ENTEROB,ABY-ENTEROB,40.0,437797.0486443015,437797.0486443015,100.0,Multiplex3
40,ABY-ENTEROB,AF647-ENT.FAECIUM,1.0,-150.3512950619358,-3052.916750919094,4.924840974345988,Multiplex3
41,ABY-ENTEROB,AF647-ENT.FAECIUM,2.0,-120.07057249391316,-2821.2277343750084,4.255968812121174,Multiplex3
42,ABY-ENTEROB,AF647-ENT.FAECIUM,3.0,455.19013054286125,-2081.6324678308647,-21.866978805205974,Multiplex3
43,ABY-ENTEROB,AF647-ENT.FAECIUM,4.0,367.14907576713387,-769.0840762867792,-47.73848361804202,Multiplex3
44,ABY-ENTEROB,AF647-ENT.FAECIUM,5.0,24.09190771015649,-543.0669347426356,-4.436268564495437,Multiplex3
45,ABY-ENTEROB,AF647-ENT.FAECIUM,6.0,-285.0785415968209,-239.940418198521,118.81222169120073,Multiplex3
46,ABY-ENTEROB,AF647-ENT.FAECIUM,7.0,-262.5902994975474,993.0142233455936,-26.44376015207986,Multiplex3
47,ABY-ENTEROB,AF647-ENT.FAECIUM,8.0,108.76268869547613,1294.6719898897081,8.400791053241333,Multiplex3
48,ABY-ENTEROB,AF647-ENT.FAECIUM,9.0,-2.8838348302512564,1087.0797564338227,-0.26528272771003564,Multiplex3
49,ABY-ENTEROB,AF647-ENT.FAECIUM,10.0,-253.62703804347865,962.9406479779373,-26.33880276796558,Multiplex3
50,ABY-ENTEROB,AF647-ENT.FAECIUM,11.0,-406.8985615692051,1099.8952895220518,-36.99429986158216,Multiplex3
51,ABY-ENTEROB,AF647-ENT.FAECIUM,12.0,-159.5284835324316,475.6780560661664,-33.537070188127686,Multiplex3
52,ABY-ENTEROB,AF647-ENT.FAECIUM,13.0,71.100383566841,150.91394761031006,47.113195760034316,Multiplex3
53,ABY-ENTEROB,AF647-ENT.FAECIUM,14.0,-132.25414777138639,53.05608915439552,-249.27232647419805,Multiplex3
54,ABY-ENTEROB,AF647-ENT.FAECIUM,15.0,-179.94412832836377,108.08885569853919,-166.47796589708526,Multiplex3
55,ABY-ENTEROB,AF647-ENT.FAECIUM,16.0,124.35661377090975,-31.128377757375347,-399.4959671210156,Multiplex3
56,ABY-ENTEROB,AF647-ENT.FAECIUM,17.0,229.58948477643327,-1208.4393612132317,-18.998841989550332,Multiplex3
57,ABY-ENTEROB,AF647-ENT.FAECIUM,18.0,52.46884015695588,-1352.047219669117,-3.880695836185103,Multiplex3
58,ABY-ENTEROB,AF647-ENT.FAECIUM,19.0,-53.615183368771504,-1238.1394531250025,4.330302473881229,Multiplex3
59,ABY-ENTEROB,AF647-ENT.FAECIUM,20.0,-18.39403111324799,-705.059811580888,2.608861093926885,Multiplex3
60,ABY-ENTEROB,AF647-ENT.FAECIUM,21.0,67.31930864227463,782.2385799632266,8.605981648902992,Multiplex3
61,ABY-ENTEROB,AF647-ENT.FAECIUM,22.0,260.85930855404814,2187.115096507341,11.92709560510194,Multiplex3
62,ABY-ENTEROB,AF647-ENT.FAECIUM,23.0,154.70204284082075,5259.022863051485,2.9416499389595114,Multiplex3
63,ABY-ENTEROB,AF647-ENT.FAECIUM,24.0,-160.77553537240664,10184.72750459557,-1.578594373780361,Multiplex3
64,ABY-ENTEROB,AF647-ENT.FAECIUM,25.0,-123.0568245231331,20213.557146139712,-0.6087836180117061,Multiplex3
65,ABY-ENTEROB,AF647-ENT.FAECIUM,26.0,550.5813199198894,37600.3711626838,1.4642975664727207,Multiplex3
66,ABY-ENTEROB,AF647-ENT.FAECIUM,27.0,796.408917487913,67971.71642922793,1.1716769258241888,Multiplex3
67,ABY-ENTEROB,AF647-ENT.FAECIUM,28.0,1723.1115150559356,111477.93669577205,1.5456973515381605,Multiplex3
68,ABY-ENTEROB,AF647-ENT.FAECIUM,29.0,2816.1979016864593,166017.9382123162,1.6963214529775055,Multiplex3
69,ABY-ENTEROB,AF647-ENT.FAECIUM,30.0,3280.797471910732,225937.81472886034,1.4520798458849822,Multiplex3
70,ABY-ENTEROB,AF647-ENT.FAECIUM,31.0,3914.428780416255,283351.1912454044,1.3814760274030582,Multiplex3
71,ABY-ENTEROB,AF647-ENT.FAECIUM,32.0,4138.929717828028,331140.91151194857,1.249899838389097,Multiplex3
72,ABY-ENTEROB,AF647-ENT.FAECIUM,33.0,3934.304678677301,367906.56927849265,1.0693760338101406,Multiplex3
73,ABY-ENTEROB,AF647-ENT.FAECIUM,34.0,3335.404737182824,393488.03954503674,0.8476508564375487,Multiplex3
