,Target in Reaction,Target,Cycle Number,Pseudo Target dRn,Target in Reaction dRn,CrossTalk %,Multiplex Combination
0,ABY-ENTEROB,ABY-ENTEROB,1.0,-2000.1407398896845,-2000.1407398896845,100.0,MultiplexTwo
1,ABY-ENTEROB,ABY-ENTEROB,2.0,-1975.1152343750146,-1975.1152343750146,100.0,MultiplexTwo
2,ABY-ENTEROB,ABY-ENTEROB,3.0,-1801.8084788602864,-1801.8084788602864,100.0,MultiplexTwo
3,ABY-ENTEROB,ABY-ENTEROB,4.0,-902.4079733455874,-902.4079733455874,100.0,MultiplexTwo
4,ABY-ENTEROB,ABY-ENTEROB,5.0,-776.9293428308592,-776.9293428308592,100.0,MultiplexTwo
5,ABY-ENTEROB,ABY-ENTEROB,6.0,-373.4663373161893,-373.4663373161893,100.0,MultiplexTwo
6,ABY-ENTEROB,ABY-ENTEROB,7.0,1150.7935431985388,1150.7935431985388,100.0,MultiplexTwo
7,ABY-ENTEROB,ABY-ENTEROB,8.0,1001.2096737132379,1001.2096737132379,100.0,MultiplexTwo
8,ABY-ENTEROB,ABY-ENTEROB,9.0,683.5945542279369,683.5945542279369,100.0,MultiplexTwo
9,ABY-ENTEROB,ABY-ENTEROB,10.0,876.2138097426359,876.2138097426359,100.0,MultiplexTwo
10,ABY-ENTEROB,ABY-ENTEROB,11.0,1291.301815257364,1291.301815257364,100.0,MultiplexTwo
11,ABY-ENTEROB,ABY-ENTEROB,12.0,761.3429457720631,761.3429457720631,100.0,MultiplexTwo
12,ABY-ENTEROB,ABY-ENTEROB,13.0,376.96220128676214,376.96220128676214,100.0,MultiplexTwo
13,ABY-ENTEROB,ABY-ENTEROB,14.0,437.2064568014612,437.2064568014612,100.0,MultiplexTwo
14,ABY-ENTEROB,ABY-ENTEROB,15.0,662.1225873161893,662.1225873161893,100.0,MultiplexTwo
15,ABY-ENTEROB,ABY-ENTEROB,16.0,503.00746783085924,503.00746783085924,100.0,MultiplexTwo
16,ABY-ENTEROB,ABY-ENTEROB,17.0,-1823.5607766544126,-1823.5607766544126,100.0,MultiplexTwo
17,ABY-ENTEROB,ABY-ENTEROB,18.0,-2065.5821461397136,-2065.5821461397136,100.0,MultiplexTwo
18,ABY-ENTEROB,ABY-ENTEROB,19.0,-1335.3847656249854,-1335.3847656249854,100.0,MultiplexTwo
19,ABY-ENTEROB,ABY-ENTEROB,20.0,-622.8905101103155,-622.8905101103155,100.0,MultiplexTwo
20,ABY-ENTEROB,ABY-ENTEROB,21.0,1147.2131204044126,1147.2131204044126,100.0,MultiplexTwo
21,ABY-ENTEROB,ABY-ENTEROB,22.0,2448.3011259191117,2448.3011259191117,100.0,MultiplexTwo
22,ABY-ENTEROB,ABY-ENTEROB,23.0,4862.576631433811,4862.576631433811,100.0,MultiplexTwo
23,ABY-ENTEROB,ABY-ENTEROB,24.0,9429.91463694851,9429.91463694851,100.0,MultiplexTwo
24,ABY-ENTEROB,ABY-ENTEROB,25.0,19479.533892463238,19479.533892463238,100.0,MultiplexTwo
25,ABY-ENTEROB,ABY-ENTEROB,26.0,36226.02814797794,36226.02814797794,100.0,MultiplexTwo
26,ABY-ENTEROB,ABY-ENTEROB,27.0,66259.88177849264,66259.88177849264,100.0,MultiplexTwo
27,ABY-ENTEROB,ABY-ENTEROB,28.0,107455.93853400736,107455.93853400736,100.0,MultiplexTwo
28,ABY-ENTEROB,ABY-ENTEROB,29.0,159289.05778952205,159289.05778952205,100.0,MultiplexTwo
29,ABY-ENTEROB,ABY-ENTEROB,30.0,217344.3332950368,217344.3332950368,100.0,MultiplexTwo
30,ABY-ENTEROB,ABY-ENTEROB,31.0,273256.39005055145,273256.39005055145,100.0,MultiplexTwo
31,ABY-ENTEROB,ABY-ENTEROB,32.0,319725.9780560662,319725.9780560662,100.0,MultiplexTwo
32,ABY-ENTEROB,ABY-ENTEROB,33.0,355714.0660615809,355714.0660615809,100.0,MultiplexTwo
33,ABY-ENTEROB,ABY-ENTEROB,34.0,382601.6228170956,382601.6228170956,100.0,MultiplexTwo
34,ABY-ENTEROB,ABY-ENTEROB,35.0,399118.0233226103,399118.0233226103,100.0,MultiplexTwo
35,ABY-ENTEROB,ABY-ENTEROB,36.0,408997.298828125,408997.298828125,100.0,MultiplexTwo
36,ABY-ENTEROB,ABY-ENTEROB,37.0,414221.8243336397,414221.8243336397,100.0,MultiplexTwo
37,ABY-ENTEROB,ABY-ENTEROB,38.0,418153.2248391544,418153.2248391544,100.0,MultiplexTwo
38,ABY-ENTEROB,ABY-ENTEROB,39.0,422069.1253446691,422069.1253446691,100.0,MultiplexTwo
39,ABY-ENTEROB,ABY-ENTEROB,40.0,424689.52585018385,424689.52585018385,100.0,MultiplexTwo
40,ABY-ENTEROB,AF647-ENT.FAECIUM,1.0,260.48006108972686,-2000.1407398896845,-13.023086620599175,MultiplexTwo
41,ABY-ENTEROB,AF647-ENT.FAECIUM,2.0,240.958145407943,-1975.1152343750146,-12.199700615654931,MultiplexTwo
